dz,place,distance,LSOA01NM,TTWA01CD,TTWA01CDO,TTWA01NM,LAD07CD,LAD07NM,area
S01001423,Glasgow,4687.0000572091485,NA,S22000018,089,Glasgow,200,East Dunbartonshire,181884.7436281083
S01001424,Glasgow,5082.265009159883,NA,S22000018,089,Glasgow,200,East Dunbartonshire,194782.931741519
S01001425,Glasgow,5567.05623480508,NA,S22000018,089,Glasgow,200,East Dunbartonshire,308629.92254192923
S01001426,Glasgow,4956.03730476975,NA,S22000018,089,Glasgow,200,East Dunbartonshire,330754.76862919016
S01001427,Glasgow,5631.650690885194,NA,S22000018,089,Glasgow,200,East Dunbartonshire,135506.630229951
S01001428,Glasgow,5421.196136493962,NA,S22000018,089,Glasgow,200,East Dunbartonshire,123839.18599052672
S01001429,Glasgow,5299.276748672374,NA,S22000018,089,Glasgow,200,East Dunbartonshire,149833.7721300018
S01001430,Glasgow,5167.918408692116,NA,S22000018,089,Glasgow,200,East Dunbartonshire,298052.25232363364
S01001431,Glasgow,5932.3115926916,NA,S22000018,089,Glasgow,200,East Dunbartonshire,153029.94905822218
S01001432,Glasgow,6350.698984879613,NA,S22000018,089,Glasgow,200,East Dunbartonshire,815728.3407157687
S01001433,Glasgow,5792.752025566292,NA,S22000018,089,Glasgow,200,East Dunbartonshire,238461.14952938832
S01001434,Glasgow,5665.904887871055,NA,S22000018,089,Glasgow,200,East Dunbartonshire,229637.42671309182
S01001435,Glasgow,5465.747380142091,NA,S22000018,089,Glasgow,200,East Dunbartonshire,205821.00075253338
S01001436,Glasgow,7267.356856530169,NA,S22000018,089,Glasgow,200,East Dunbartonshire,393399.9074316736
S01001437,Glasgow,6298.096071839948,NA,S22000018,089,Glasgow,200,East Dunbartonshire,257804.36801951405
S01001438,Glasgow,7094.1911620919545,NA,S22000018,089,Glasgow,200,East Dunbartonshire,436915.48938909185
S01001439,Glasgow,5704.197641834505,NA,S22000018,089,Glasgow,200,East Dunbartonshire,130040.99165417199
S01001440,Glasgow,7908.567748573164,NA,S22000018,089,Glasgow,200,East Dunbartonshire,189423.7043144223
S01001441,Glasgow,6036.6094225955885,NA,S22000018,089,Glasgow,200,East Dunbartonshire,365688.94725100684
S01001442,Glasgow,6403.235299601747,NA,S22000018,089,Glasgow,200,East Dunbartonshire,161459.7840276251
S01001443,Glasgow,8299.916097483609,NA,S22000018,089,Glasgow,200,East Dunbartonshire,162246.73475505208
S01001444,Glasgow,6776.973181547743,NA,S22000018,089,Glasgow,200,East Dunbartonshire,178258.99522488023
S01001445,Glasgow,8016.0557902113305,NA,S22000018,089,Glasgow,200,East Dunbartonshire,141821.23797898932
S01001446,Glasgow,6065.44760703822,NA,S22000018,089,Glasgow,200,East Dunbartonshire,201994.19495836308
S01001447,Glasgow,7710.10979870525,NA,S22000018,089,Glasgow,200,East Dunbartonshire,352227.43239463907
S01001448,Glasgow,6413.420100306538,NA,S22000018,089,Glasgow,200,East Dunbartonshire,127883.85116817625
S01001449,Glasgow,7066.126264611405,NA,S22000018,089,Glasgow,200,East Dunbartonshire,208025.8489611463
S01001450,Glasgow,6273.334191355977,NA,S22000018,089,Glasgow,200,East Dunbartonshire,169738.73723374424
S01001451,Glasgow,7497.437521023418,NA,S22000018,089,Glasgow,200,East Dunbartonshire,217561.31383639216
S01001452,Glasgow,6976.055621331943,NA,S22000018,089,Glasgow,200,East Dunbartonshire,1058975.0613202795
S01001453,Glasgow,9563.741895612813,NA,S22000018,089,Glasgow,200,East Dunbartonshire,824020.9802458608
S01001454,Glasgow,8375.151249900679,NA,S22000018,089,Glasgow,200,East Dunbartonshire,366790.1788405109
S01001455,Glasgow,6492.520565891693,NA,S22000018,089,Glasgow,200,East Dunbartonshire,177859.7124890192
S01001456,Glasgow,7918.689410338121,NA,S22000018,089,Glasgow,200,East Dunbartonshire,200775.3668768954
S01001457,Glasgow,8944.154268728817,NA,S22000018,089,Glasgow,200,East Dunbartonshire,484337.5286090645
S01001458,Glasgow,6700.134640183618,NA,S22000018,089,Glasgow,200,East Dunbartonshire,184832.27249002102
S01001459,Glasgow,7713.8345156644145,NA,S22000018,089,Glasgow,200,East Dunbartonshire,299725.2417077812
S01001460,Glasgow,6862.905659266807,NA,S22000018,089,Glasgow,200,East Dunbartonshire,246980.76972998548
S01001461,Glasgow,7063.190605791263,NA,S22000018,089,Glasgow,200,East Dunbartonshire,167833.78758389578
S01001462,Glasgow,8247.370118371555,NA,S22000018,089,Glasgow,200,East Dunbartonshire,337901.5931169761
S01001463,Glasgow,6819.707113141787,NA,S22000018,089,Glasgow,200,East Dunbartonshire,4370728.628279351
S01001464,Glasgow,9501.3988640964,NA,S22000018,089,Glasgow,200,East Dunbartonshire,281105.21756906604
S01001465,Glasgow,9050.997961444771,NA,S22000018,089,Glasgow,200,East Dunbartonshire,637520.1559118939
S01001466,Glasgow,7768.019736940917,NA,S22000018,089,Glasgow,200,East Dunbartonshire,162813.46860773937
S01001467,Glasgow,9915.58639886702,NA,S22000018,089,Glasgow,200,East Dunbartonshire,192185.59103768843
S01001468,Glasgow,7498.221255569507,NA,S22000018,089,Glasgow,200,East Dunbartonshire,759059.3074725461
S01001469,Glasgow,8083.155621817946,NA,S22000018,089,Glasgow,200,East Dunbartonshire,345888.8160343756
S01001470,Glasgow,8929.687897441127,NA,S22000018,089,Glasgow,200,East Dunbartonshire,379790.7047335007
S01001471,Glasgow,9432.162444759382,NA,S22000018,089,Glasgow,200,East Dunbartonshire,346957.1638052278
S01001472,Glasgow,8792.345418932078,NA,S22000018,089,Glasgow,200,East Dunbartonshire,164115.68603640897
S01001473,Glasgow,8787.366448629427,NA,S22000018,089,Glasgow,200,East Dunbartonshire,385079.26518025895
S01001474,Glasgow,8454.695897307249,NA,S22000018,089,Glasgow,200,East Dunbartonshire,6286621.3504181765
S01001475,Glasgow,8563.980825266188,NA,S22000018,089,Glasgow,200,East Dunbartonshire,177049.82553835973
S01001476,Glasgow,9507.199195850633,NA,S22000018,089,Glasgow,200,East Dunbartonshire,268283.5376100351
S01001477,Glasgow,9092.997141018097,NA,S22000018,089,Glasgow,200,East Dunbartonshire,220978.9580323011
S01001478,Glasgow,9877.419220563788,NA,S22000018,089,Glasgow,200,East Dunbartonshire,198095.63723837017
S01001479,Glasgow,9769.915053635745,NA,S22000018,089,Glasgow,200,East Dunbartonshire,175239.60441914425
S01001480,Glasgow,10306.780746078892,NA,S22000018,089,Glasgow,200,East Dunbartonshire,450117.33083281684
S01001481,Glasgow,10654.436003124036,NA,S22000018,089,Glasgow,200,East Dunbartonshire,1348810.6801583266
S01001482,Glasgow,9856.43904581049,NA,S22000018,089,Glasgow,200,East Dunbartonshire,128889.70195626085
S01001483,Glasgow,9155.173038719757,NA,S22000018,089,Glasgow,200,East Dunbartonshire,308846.1187688587
S01001484,Glasgow,8937.474351644318,NA,S22000018,089,Glasgow,200,East Dunbartonshire,608229.0054254859
S01001485,Glasgow,12436.825811614925,NA,S22000018,089,Glasgow,200,East Dunbartonshire,10216386.205046374
S01001486,Glasgow,9634.49609266539,NA,S22000018,089,Glasgow,200,East Dunbartonshire,246492.33504185532
S01001487,Glasgow,9831.185968743393,NA,S22000018,089,Glasgow,200,East Dunbartonshire,130659.00626480479
S01001488,Glasgow,10322.082786695864,NA,S22000018,089,Glasgow,200,East Dunbartonshire,151662.65042020334
S01001489,Glasgow,10031.295922429432,NA,S22000018,089,Glasgow,200,East Dunbartonshire,264500.70046967804
S01001490,Glasgow,10357.188297996538,NA,S22000018,089,Glasgow,200,East Dunbartonshire,297737.46894174727
S01001491,Glasgow,9275.781811983066,NA,S22000018,089,Glasgow,200,East Dunbartonshire,169045.85894684485
S01001492,Glasgow,11706.79495582249,NA,S22000018,089,Glasgow,200,East Dunbartonshire,594125.042861325
S01001493,Glasgow,11019.05523402991,NA,S22000018,089,Glasgow,200,East Dunbartonshire,141972.25585563865
S01001494,Glasgow,10669.917655608228,NA,S22000018,089,Glasgow,200,East Dunbartonshire,187859.78019164977
S01001495,Glasgow,9597.253331670257,NA,S22000018,089,Glasgow,200,East Dunbartonshire,181831.6535301281
S01001496,Glasgow,9851.008510757347,NA,S22000018,089,Glasgow,200,East Dunbartonshire,263578.7105068307
S01001497,Glasgow,10221.677383720418,NA,S22000018,089,Glasgow,200,East Dunbartonshire,300688.40208462626
S01001498,Glasgow,10603.62939845399,NA,S22000018,089,Glasgow,200,East Dunbartonshire,168098.1592157262
S01001499,Glasgow,8789.273651981248,NA,S22000018,089,Glasgow,200,East Dunbartonshire,5215934.010844208
S01001500,Glasgow,11204.997254325624,NA,S22000018,089,Glasgow,200,East Dunbartonshire,214506.0570559064
S01001501,Glasgow,9652.125033876016,NA,S22000018,089,Glasgow,200,East Dunbartonshire,247256.1712105277
S01001502,Glasgow,11629.144514688021,NA,S22000018,089,Glasgow,200,East Dunbartonshire,210135.95065145334
S01001503,Glasgow,11897.197369938458,NA,S22000018,089,Glasgow,200,East Dunbartonshire,106739.0649146263
S01001504,Glasgow,10932.480605799565,NA,S22000018,089,Glasgow,200,East Dunbartonshire,201661.22641064972
