dz_2011,year,pop_total,pop_workingage,pop_incomedeprived,simd_score
S01006506,2004,864,575,62,6.706758399
S01006506,2006,842,566,69,9.061799786
S01006506,2009,836,554,60,7.9162505044597
S01006506,2012,914,612,75,10.0436554548751
S01006507,2004,820.375,507,43.875,8.4880534818125
S01006507,2006,756.875,471.5,39.625,8.937893148725
S01006507,2009,740.5,450.75,65,11.2801315578306
S01006507,2012,736.75,466.375,50.625,9.06617730843494
S01006508,2004,730,505,34.6666666666667,5.32628902106667
S01006508,2006,699.333333333333,494,37.6666666666667,6.90588404046667
S01006508,2009,683.333333333333,478,36.6666666666667,6.01237788051107
S01006508,2012,708,492,45,6.82679063640512
S01006509,2004,628.857142857143,384.714285714286,63.1428571428571,11.0760797834
S01006509,2006,619,390.142857142857,40.1428571428571,7.83650165792857
S01006509,2009,594,369.285714285714,45.7142857142857,8.99990100293266
S01006509,2012,587.428571428571,362.142857142857,47.1428571428571,10.6832055321808
S01006510,2004,620,347.714285714286,80.4285714285714,11.4612675235714
S01006510,2006,607.428571428571,324,75.8571428571428,11.5433498754143
S01006510,2009,604.428571428571,320.142857142857,82.8571428571428,12.3696536071977
S01006510,2012,630.142857142857,346,53.5714285714286,9.80089920284141
S01006511,2004,838.111111111111,462.666666666667,40.5555555555556,4.84720381098889
S01006511,2006,810.444444444444,437.666666666667,39.7777777777778,5.22508935967778
S01006511,2009,798.333333333333,429.444444444444,42.2222222222222,4.41403979634503
S01006511,2012,820.111111111111,442.666666666667,30.5555555555556,4.73093737201418
S01006512,2004,512,316,18,7.5514623996
S01006512,2006,525,320,13,6.6495172255
S01006512,2009,493,292,15,6.47492462596482
S01006512,2012,525,329,15,6.34533571150778
S01006513,2004,662.714285714286,394.571428571429,6,4.56236753568571
S01006513,2006,656.142857142857,391.428571428571,7.71428571428571,4.92869606347143
S01006513,2009,704.285714285714,418.571428571429,14.2857142857143,4.35413498372403
S01006513,2012,767.428571428571,433.142857142857,15,4.82770746201122
S01006514,2004,829.5,516,13.5,4.378857064125
S01006514,2006,825.25,513.5,8.75,4.3460780277
S01006514,2009,946.25,593.5,8.75,3.40693768006817
S01006514,2012,980.25,613.75,8.75,4.55634485896983
S01006515,2004,863.75,529.875,7,4.5231750343
S01006515,2006,848.125,526.75,11.875,5.2766265808625
S01006515,2009,910.25,550.75,8.125,4.32698792173243
S01006515,2012,920.375,562.625,11.875,4.90466668661865
S01006516,2004,636.25,402,10.875,5.7598313250625
S01006516,2006,680.625,433,13.375,5.6575843121625
S01006516,2009,704,465.625,13.125,4.76795388307875
S01006516,2012,770.625,514.375,11.875,4.98791933376929
S01006517,2004,1049,629,24,5.1460766471
S01006517,2006,1053,640,40,6.1280136582
S01006517,2009,1033,622,20,5.4409032219453
S01006517,2012,1068,656,25,6.20373297936643
S01006518,2004,712.111111111111,419.666666666667,0.666666666666667,3.43244450425556
S01006518,2006,731.333333333333,429.666666666667,5.22222222222222,4.37742464307778
S01006518,2009,764,461.888888888889,8.33333333333333,3.80493404517186
S01006518,2012,774.222222222222,471.555555555556,9.44444444444444,4.11303081690158
S01006519,2004,874,571,24,3.7444656685
S01006519,2006,916,591,15,3.972719536
S01006519,2009,940,630,20,4.23377907838396
S01006519,2012,931,624,25,4.67076972719623
S01006520,2004,791,483.333333333333,4,4.11405442496667
S01006520,2006,830.333333333333,512.333333333333,7.66666666666667,4.88300008461667
S01006520,2009,940.333333333333,580.333333333333,5,4.4256190476467
S01006520,2012,1002.33333333333,618.5,12.5,4.74552670587677
S01006521,2004,987.666666666667,606.666666666667,24.3333333333333,6.35839196761667
S01006521,2006,960.333333333333,584.166666666667,22.1666666666667,4.56143084375
S01006521,2009,1019.66666666667,647.666666666667,12.5,2.66165742886824
S01006521,2012,1203,786.333333333333,16.6666666666667,3.82939738613025
S01006522,2004,1012,631,24,6.9955770994
S01006522,2006,974,601,22,4.6158865371
S01006522,2009,1039,675,10,2.63805420221134
S01006522,2012,1247,833,15,3.79156099606034
S01006523,2004,903.384615384615,516.846153846154,32,4.91535188209231
S01006523,2006,921.692307692308,527.923076923077,33,5.5135036958
S01006523,2009,952.615384615385,549.692307692308,29.6153846153846,3.82809375713013
S01006523,2012,1031.76923076923,608.230769230769,29.6153846153846,4.84960526205905
S01006524,2004,841.909090909091,458.090909090909,84.9090909090909,12.8491001270727
S01006524,2006,899.909090909091,503.545454545455,104.363636363636,14.0794795983
S01006524,2009,911,543.181818181818,91.3636363636364,11.1754303717659
S01006524,2012,955.545454545455,578.545454545455,80.9090909090909,10.6939069400479
S01006525,2004,835.333333333333,497,41.7777777777778,6.25408126381111
S01006525,2006,836.888888888889,506.777777777778,43,7.33576407342222
S01006525,2009,823.111111111111,495.111111111111,38.8888888888889,6.42024879973615
S01006525,2012,859.888888888889,509.111111111111,39.4444444444444,6.63711339993296
S01006526,2004,890.333333333333,517.75,134.166666666667,21.4063647408167
S01006526,2006,844.583333333333,514.416666666667,113.583333333333,20.2773162836917
S01006526,2009,868.916666666667,561.083333333333,110.833333333333,18.6502090877582
S01006526,2012,857.5,555.333333333333,84.1666666666667,19.7594389068562
S01006527,2004,852.545454545455,503.363636363636,118,21.4981561015818
S01006527,2006,798.727272727273,491.727272727273,119.454545454545,22.8734585810091
S01006527,2009,813.363636363636,528.818181818182,120.909090909091,22.3995817128218
