lsoa,ttwa_code,ttwa_name,change_in_id_share_in_ttwa
E01000001,E30000234,London,-3.5588755623631552e-6
E01000002,E30000234,London,-2.4472218107990208e-6
E01000003,E30000234,London,-3.5826271681628833e-6
E01000005,E30000234,London,-8.198583290347863e-5
E01000006,E30000234,London,8.087674845027866e-5
E01000007,E30000234,London,-1.2414281389660977e-4
E01000008,E30000234,London,-6.96714069210002e-5
E01000009,E30000234,London,5.745429150279328e-5
E01000010,E30000234,London,4.8564879839799885e-5
E01000011,E30000234,London,-2.4072551095338345e-5
E01000012,E30000234,London,1.5715766884319976e-4
E01000013,E30000234,London,7.172711748639735e-5
E01000014,E30000234,London,3.6069594491043534e-5
E01000015,E30000234,London,2.5231140559048857e-4
E01000016,E30000234,London,4.8392751425211245e-5
E01000017,E30000234,London,4.8165442774964124e-5
E01000018,E30000234,London,6.529190053992652e-5
E01000019,E30000234,London,5.658753175730855e-5
E01000020,E30000234,London,7.035836198880934e-6
E01000021,E30000234,London,-4.895026180868223e-6
E01000022,E30000234,London,-1.0646812286193365e-5
E01000023,E30000234,London,1.8558476842374795e-4
E01000024,E30000234,London,2.9702544615493323e-6
E01000025,E30000234,London,-2.3712691791092136e-6
E01000027,E30000234,London,-5.1096876132318753e-5
E01000028,E30000234,London,-3.394456164767108e-5
E01000029,E30000234,London,3.7961220541198894e-5
E01000030,E30000234,London,7.382714606998342e-5
E01000031,E30000234,London,6.239133261797482e-5
E01000032,E30000234,London,9.116554014765716e-6
E01000033,E30000234,London,8.116638225969032e-5
E01000034,E30000234,London,3.565520401159483e-5
E01000035,E30000234,London,1.323552888810537e-4
E01000036,E30000234,London,4.233606396068543e-5
E01000037,E30000234,London,8.326417864023603e-5
E01000038,E30000234,London,3.360641659670249e-5
E01000039,E30000234,London,7.535883935893504e-5
E01000040,E30000234,London,9.261053600166235e-6
E01000041,E30000234,London,3.3250488194513103e-5
E01000042,E30000234,London,2.1052177735642318e-4
E01000043,E30000234,London,7.736580447052703e-5
E01000044,E30000234,London,5.0831846475216596e-5
E01000045,E30000234,London,6.763666945336225e-5
E01000046,E30000234,London,8.006997842885551e-5
E01000048,E30000234,London,-9.279609344052346e-5
E01000049,E30000234,London,-6.511612824619875e-5
E01000050,E30000234,London,1.5362690148572507e-5
E01000051,E30000234,London,-4.799139596385057e-5
E01000052,E30000234,London,1.0793895599810533e-4
E01000053,E30000234,London,6.161488956897315e-5
E01000054,E30000234,London,4.444587782275497e-5
E01000055,E30000234,London,-2.1852819824085727e-005
E01000056,E30000234,London,1.4983294167607254e-5
E01000057,E30000234,London,5.866316512634728e-5
E01000058,E30000234,London,1.0205697381170963e-4
E01000059,E30000234,London,3.692150939644097e-5
E01000060,E30000234,London,5.107697968400259e-5
E01000061,E30000234,London,-7.697208825889837e-5
E01000062,E30000234,London,6.865236888438603e-5
E01000063,E30000234,London,4.4476615120996185e-5
E01000064,E30000234,London,6.874973734020007e-5
E01000065,E30000234,London,7.439615980871396e-5
E01000066,E30000234,London,6.99241166632885e-5
E01000067,E30000234,London,1.2101609012983325e-4
E01000068,E30000234,London,5.5069024272430756e-5
E01000069,E30000234,London,5.8409990902877996e-5
E01000070,E30000234,London,1.1384605090063598e-4
E01000071,E30000234,London,1.4984034546579555e-4
E01000072,E30000234,London,1.4277791013078087e-4
E01000073,E30000234,London,7.088430728377816e-5
E01000074,E30000234,London,3.9645999551608194e-5
E01000075,E30000234,London,7.449550034851875e-5
E01000076,E30000234,London,6.19907608579546e-5
E01000077,E30000234,London,-1.5771159901833347e-6
E01000078,E30000234,London,4.785701436633478e-5
E01000079,E30000234,London,4.075009077836512e-5
E01000080,E30000234,London,3.974893521987882e-5
E01000081,E30000234,London,-9.431365425257286e-6
E01000082,E30000234,London,2.734297248703423e-5
E01000083,E30000234,London,1.179219132915401e-4
E01000084,E30000234,London,3.984592658360742e-5
E01000085,E30000234,London,9.369189696848193e-6
E01000086,E30000234,London,3.3932832685503855e-5
E01000087,E30000234,London,-2.1222546289850156e-5
E01000088,E30000234,London,8.878622189798524e-5
E01000089,E30000234,London,1.1831718638891683e-4
E01000090,E30000234,London,8.926222671336407e-5
E01000091,E30000234,London,1.2214645436270865e-4
E01000092,E30000234,London,2.977801696703873e-4
E01000093,E30000234,London,-5.108365828701729e-6
E01000094,E30000234,London,-1.4762147507892579e-4
E01000095,E30000234,London,8.877289073462295e-5
E01000096,E30000234,London,-1.3868577484723449e-5
E01000097,E30000234,London,7.019193049098683e-5
E01000098,E30000234,London,1.1260307258306404e-4
E01000099,E30000234,London,1.2253018666735335e-4
E01000100,E30000234,London,7.060714650282355e-5
E01000101,E30000234,London,6.235996583765487e-5
E01000102,E30000234,London,5.684006300976619e-5
E01000103,E30000234,London,4.768974573348371e-5
E01000104,E30000234,London,-9.683684121788321e-5
E01000105,E30000234,London,3.7003743978571374e-5
E01000106,E30000234,London,6.477988702923576e-5
E01000107,E30000234,London,6.193039909415632e-5
E01000108,E30000234,London,8.168429539240083e-5
E01000109,E30000234,London,4.334209827416163e-5
E01000110,E30000234,London,4.25057106945899e-5
E01000111,E30000234,London,1.049586297979708e-4
E01000112,E30000234,London,9.71762085442031e-5
E01000113,E30000234,London,1.1661099867773557e-4
E01000114,E30000234,London,7.679991246361105e-5
E01000115,E30000234,London,9.423575672651605e-6
E01000116,E30000234,London,2.946021150245206e-5
E01000117,E30000234,London,4.313399969943819e-5
E01000118,E30000234,London,3.323514403423768e-5
E01000119,E30000234,London,4.259393584290754e-5
E01000120,E30000234,London,2.1080664201560703e-5
E01000121,E30000234,London,-4.346815294416185e-5
E01000122,E30000234,London,2.0196277454330298e-5
E01000123,E30000234,London,1.2564286748640143e-5
E01000124,E30000234,London,-1.514838104896209e-5
E01000125,E30000234,London,1.61024201434073e-4
E01000126,E30000234,London,-9.926427063580419e-5
E01000127,E30000234,London,-9.803950603813995e-6
E01000128,E30000234,London,-5.687697146956904e-6
E01000129,E30000234,London,-1.0060657871581745e-4
E01000130,E30000234,London,1.4146301289532856e-6
E01000131,E30000234,London,3.4313917603465225e-6
E01000132,E30000234,London,-5.9785711046860684e-5
E01000133,E30000234,London,-4.141004441878595e-5
E01000134,E30000234,London,5.281047709139908e-6
E01000135,E30000234,London,3.532150355835182e-5
E01000136,E30000234,London,8.093961478834014e-6
E01000137,E30000234,London,7.918100094756906e-6
E01000138,E30000234,London,1.1760396571231402e-4
E01000139,E30000234,London,3.864674175189264e-5
E01000140,E30000234,London,2.6881083454097124e-5
E01000141,E30000234,London,8.196557694027022e-5
E01000142,E30000234,London,5.8730188613030036e-5
E01000143,E30000234,London,2.6646467292183642e-5
E01000144,E30000234,London,6.824120884811224e-5
E01000145,E30000234,London,1.7560966189556667e-5
E01000146,E30000234,London,3.951946542961271e-5
E01000147,E30000234,London,-3.054515551389603e-5
E01000148,E30000234,London,6.399304674329352e-5
E01000150,E30000234,London,6.264667089873207e-5
E01000151,E30000234,London,-3.480478202221325e-5
E01000152,E30000234,London,-1.0714626182655595e-4
E01000153,E30000234,London,-1.1673313542344833e-5
E01000154,E30000234,London,-2.9477591228166454e-4
E01000155,E30000234,London,3.746669269201808e-5
E01000156,E30000234,London,-2.3463055627383412e-5
E01000157,E30000234,London,6.7540448875341025e-6
E01000158,E30000234,London,-5.246038740859194e-5
E01000159,E30000234,London,2.6915461212940475e-5
E01000160,E30000234,London,2.9915543673780462e-5
E01000161,E30000234,London,-6.019107758991872e-6
E01000162,E30000234,London,-1.7958779204782505e-6
E01000163,E30000234,London,9.18578343564588e-6
E01000164,E30000234,London,2.786778268619157e-6
E01000165,E30000234,London,8.490902651509884e-5
E01000166,E30000234,London,4.5860043672357124e-5
E01000167,E30000234,London,-1.9494439516192565e-5
E01000168,E30000234,London,1.8582047508420977e-5
E01000169,E30000234,London,3.612614335035025e-5
E01000170,E30000234,London,8.235733245448928e-5
E01000171,E30000234,London,1.5605253381974487e-4
E01000172,E30000234,London,4.856863808864167e-5
E01000173,E30000234,London,4.087222907218315e-5
E01000174,E30000234,London,3.537521031053256e-5
E01000175,E30000234,London,8.651086372556496e-6
E01000176,E30000234,London,1.8511027395650445e-5
E01000177,E30000234,London,2.5791024796253888e-6
