place,year,d_val_overall,d_val_inner,d_val_outer
Birmingham,2004.0,0.3977983082465415,0.11845162257051922,0.2793466856760223
Birmingham,2007.0,0.4047547535410856,0.13369383164333884,0.2710609218977468
Birmingham,2010.0,0.375896714374484,0.11159653836820263,0.26430017600628136
Birmingham,2015.0,0.3459305261403783,0.09645582490847254,0.24947470123190577
Bristol,2004.0,0.3782473982470308,0.09969563648061945,0.27855176176641133
Bristol,2007.0,0.3718320566235862,0.097609264948413,0.2742227916751732
Bristol,2010.0,0.36616422726701314,0.09663550831263813,0.269528718954375
Bristol,2015.0,0.35364182089666285,0.09158268689106405,0.26205913400559877
Cambridge,2004.0,0.31323737279002223,0.07424412868155372,0.2389932441084685
Cambridge,2007.0,0.2979124190900599,0.07482553459675483,0.22308688449330505
Cambridge,2010.0,0.29456861337442636,0.06866903379401014,0.2258995795804162
Cambridge,2015.0,0.2805185667570599,0.066670675363097065,0.21384789139396285
Coventry,2004.0,0.36633436539718195,0.08970511524560042,0.2766292501515815
Coventry,2007.0,0.3542664257886213,0.08410913113868031,0.270157294649941
Coventry,2010.0,0.3378230327002941,0.07968009829990051,0.25814293440039365
Coventry,2015.0,0.31968975080832396,0.07386792334195569,0.2458218274663683
Crawley,2004.0,0.29715745528072895,0.08624278758712409,0.21091466769360484
Crawley,2007.0,0.28169689222457367,0.07992376420940046,0.2017731280151732
Crawley,2010.0,0.28225273785791616,0.07801807108206607,0.20423466677585006
Crawley,2015.0,0.2648089991094919,0.07812772305372613,0.1866812760557658
Edinburgh,2004.0,0.38127233556894813,0.06346159253900906,0.31781074302993906
Edinburgh,2006.0,0.35751537399491806,0.05786416167022686,0.2996512123246912
Edinburgh,2009.0,0.3383655112382902,0.0563555525263321,0.28200995871195805
Edinburgh,2012.0,0.31123498926907583,0.053443071119928194,0.25779191814914765
Edinburgh,2016.0,0.37423586226247524,0.06281783126542283,0.31141803099705245
Glasgow,2004.0,0.382573723570977,0.08639214270494502,0.29618158086603197
Glasgow,2006.0,0.36275187648819673,0.08221446341828781,0.2805374130699089
Glasgow,2009.0,0.3468225007072932,0.07988383505719052,0.26693866565010266
Glasgow,2012.0,0.32850956945457144,0.07281501674914305,0.2556945527054284
Glasgow,2016.0,0.3670828009284039,0.08443653004216843,0.28264627088623545
Guildford and Aldershot,2004.0,0.33116668693456025,0.07344233771981988,0.2577243492147404
Guildford and Aldershot,2007.0,0.3206899407791409,0.06906433197333367,0.25162560880580725
Guildford and Aldershot,2010.0,0.31999032456654314,0.06959852736508279,0.2503917972014603
Guildford and Aldershot,2015.0,0.30591529210665236,0.06741222849703149,0.23850306360962087
